,SEX,VEH,SEX_S,AGE_index,AGE_S_index,PINCP_index,PINCP_S_index
197,2,0,1,11,13,8,1
198,2,1,2,10,5,5,1
199,2,1,1,18,17,4,4
200,1,2,2,15,14,8,5
201,1,0,2,10,17,1,1
202,1,1,1,9,9,4,3
203,1,0,2,10,10,5,5
204,2,3,1,14,15,6,6
205,1,2,2,11,11,7,6
206,2,2,2,19,11,8,5
207,2,2,2,10,10,8,6
208,1,3,2,10,10,8,8
209,2,1,1,12,11,8,6
210,1,2,2,7,8,4,3
211,1,2,2,11,10,8,6
212,1,2,2,16,20,5,5
213,1,1,1,10,11,8,6
214,1,2,2,19,19,8,8
215,1,2,2,11,11,8,7
216,1,0,1,9,9,1,1
217,1,2,2,14,13,8,8
218,2,1,2,16,4,6,1
219,1,0,2,9,10,6,1
220,1,1,2,10,9,3,3
221,1,2,2,15,13,5,1
222,2,2,1,13,13,8,4
223,1,1,2,10,10,8,4
224,2,1,2,16,14,5,1
225,2,0,1,8,8,3,2
226,1,3,2,19,17,8,4
227,1,2,2,17,15,3,2
228,1,2,2,10,10,8,7
229,1,2,2,10,10,7,7
230,1,1,2,11,10,8,1
231,2,2,2,14,13,8,6
232,1,1,2,20,20,8,5
233,2,1,1,15,15,8,6
234,2,2,1,15,16,5,3
235,1,1,2,10,10,4,3
236,1,2,2,11,8,5,3
237,1,2,2,17,17,8,2
238,1,2,2,11,10,8,5
239,1,2,2,16,15,8,7
240,1,2,2,15,15,8,2
241,1,3,2,15,14,8,7
242,2,1,1,10,10,6,3
243,1,0,2,20,17,8,2
244,2,2,1,9,9,4,3
245,1,2,2,15,15,8,8
246,2,1,1,8,8,1,1
247,2,0,2,5,5,1,1
248,2,1,2,8,7,2,1
249,2,2,2,9,8,4,4
250,1,2,2,16,20,8,6
251,1,2,2,10,9,8,4
252,1,2,2,9,9,6,6
253,1,2,2,15,15,8,6
254,1,2,2,13,13,8,2
255,1,1,2,21,21,8,3
256,1,1,1,10,11,5,5
257,1,1,2,10,10,8,5
258,1,1,2,12,12,5,4
259,1,2,2,11,9,8,7
260,2,2,1,16,17,8,1
261,1,1,2,9,9,5,1
262,2,1,1,11,14,5,2
263,2,2,1,19,19,7,4
264,1,2,2,13,13,8,3
265,1,2,2,15,15,8,7
266,1,0,1,9,8,4,3
267,1,2,1,13,12,8,5
268,2,0,2,19,10,3,1
269,2,3,1,20,21,8,8
270,2,1,1,14,16,8,4
271,2,2,1,10,12,5,5
272,1,2,2,21,21,8,8
273,2,0,2,10,9,5,1
274,2,1,1,10,12,7,6
275,2,1,1,11,12,8,6
276,1,2,2,11,11,7,6
277,2,2,2,15,8,6,5
278,2,1,2,9,7,8,4
279,1,1,2,17,15,8,7
280,1,3,2,16,17,8,5
281,2,2,2,12,9,8,6
282,2,1,1,15,17,8,4
283,1,0,2,9,9,4,1
284,1,1,2,10,9,8,5
285,1,2,2,14,14,8,6
286,2,1,1,10,10,8,5
287,2,1,1,9,9,7,4
288,2,1,2,20,17,6,4
289,1,0,2,11,11,6,5
290,1,1,2,11,10,7,4
291,1,2,2,18,16,8,8
292,1,1,2,10,10,8,2
293,1,3,2,18,18,8,8
294,1,1,2,8,8,3,3
295,2,1,1,10,10,8,4
296,2,1,2,9,9,4,2
297,1,2,2,15,13,7,6
298,2,3,1,12,14,8,5
299,1,2,2,19,17,8,8
300,2,1,1,15,8,5,1
301,1,2,2,15,14,8,8
302,1,0,2,9,9,5,4
303,2,1,2,13,14,8,6
304,1,1,1,9,9,6,4
305,2,1,1,15,10,7,1
306,2,1,1,10,10,8,6
307,2,0,2,8,8,3,3
308,2,3,1,15,16,8,6
309,1,2,2,16,15,5,4
310,2,2,1,9,11,4,3
311,1,1,2,14,14,8,4
312,1,2,2,15,15,8,6
313,2,1,1,12,13,8,8
314,1,2,2,13,14,6,5
315,1,2,1,11,8,3,2
316,1,2,1,10,10,8,4
317,2,3,1,15,15,5,3
318,2,1,2,15,14,8,7
319,1,2,1,9,9,5,5
320,2,2,1,13,12,8,8
321,1,1,2,16,15,5,1
322,1,2,2,9,9,8,4
323,2,1,2,14,9,7,4
324,2,2,1,10,10,5,3
325,1,2,2,10,10,6,5
326,1,2,2,10,9,8,8
327,2,5,1,15,15,8,8
328,2,1,1,9,9,4,3
329,2,2,1,13,15,8,6
330,2,1,1,15,15,7,5
331,2,2,2,11,10,8,5
332,1,2,2,15,15,8,1
333,2,2,2,12,12,6,5
334,1,2,1,8,9,4,2
335,1,2,2,20,13,8,4
336,1,0,2,8,8,5,3
337,2,2,1,15,20,7,5
338,2,2,2,6,6,2,1
339,2,2,1,15,14,8,8
340,2,3,2,12,9,8,8
341,1,1,2,12,10,8,8
342,1,2,2,17,17,8,6
343,2,2,1,19,19,7,5
344,1,3,2,10,10,8,5
345,2,2,1,17,15,6,3
346,2,0,2,8,8,1,1
347,1,2,2,20,15,5,5
348,1,2,2,20,14,8,8
349,1,1,2,11,11,6,3
350,1,2,2,14,13,8,8
351,1,2,2,20,17,8,5
352,2,2,1,11,13,6,5
353,1,2,2,17,16,8,8
354,1,1,2,16,16,8,2
355,2,1,1,15,15,8,5
356,1,1,2,9,9,4,3
357,1,0,2,15,14,3,1
