,SEX,VEH,SEX_S,AGE_index,AGE_S_index,PINCP_index,PINCP_S_index
7122,1,2,2,14,16,8,4
7123,1,2,1,11,11,8,8
7124,2,3,1,13,15,8,8
7125,2,3,1,13,15,8,8
7126,1,3,2,20,17,8,6
7127,1,3,2,20,17,8,6
7128,1,2,1,15,15,5,5
7129,2,2,2,14,14,8,8
7130,2,2,2,18,18,5,5
7131,1,0,2,10,10,5,3
7132,1,0,2,10,10,5,3
7133,1,4,1,14,14,8,8
7134,2,2,1,13,8,6,3
7135,2,2,1,13,8,6,3
7136,2,2,2,9,9,4,4
7137,1,2,1,15,15,8,8
7138,1,2,2,16,14,8,8
7139,1,2,2,16,14,8,8
7140,2,2,1,19,19,8,8
7141,2,2,1,19,19,8,8
7142,1,2,2,13,13,8,3
7143,1,2,2,13,13,8,3
7144,2,3,1,14,15,8,5
7145,2,3,1,14,15,8,5
7146,2,2,1,13,13,8,5
7147,2,2,1,13,13,8,5
7148,1,3,1,14,14,8,8
7149,2,2,2,21,21,5,5
7150,2,1,2,15,15,8,8
7151,1,2,2,17,17,8,5
7152,1,2,2,17,17,8,5
7153,1,2,2,10,11,6,6
7154,1,2,2,10,11,6,6
7155,1,2,2,11,12,8,5
7156,1,2,2,11,12,8,5
7157,1,1,1,15,15,4,4
7158,2,2,1,12,12,5,1
7159,2,2,1,12,12,5,1
7160,1,2,2,10,10,8,5
7161,1,2,2,10,10,8,5
7162,2,3,1,16,15,4,2
7163,2,3,1,16,15,4,2
7164,1,2,2,19,16,8,3
7165,1,2,2,19,16,8,3
7166,2,3,2,17,17,8,8
7167,1,2,2,17,17,8,5
7168,1,2,2,17,17,8,5
7169,2,2,2,12,12,2,2
7170,1,3,2,18,15,8,6
7171,1,3,2,18,15,8,6
7172,2,2,1,15,16,8,5
7173,2,2,1,15,16,8,5
7174,1,3,1,10,10,8,8
7175,1,3,1,10,10,8,8
7176,1,2,2,12,13,8,2
7177,1,2,2,12,13,8,2
7178,1,2,1,14,14,8,8
7179,2,2,2,15,15,8,8
7180,1,2,2,16,17,8,7
7181,1,2,2,16,17,8,7
7182,2,2,2,15,15,6,6
7183,1,1,2,21,18,6,4
7184,1,1,2,21,18,6,4
7185,2,2,1,15,15,8,7
7186,2,2,1,15,15,8,7
7187,1,2,1,12,12,6,6
7188,2,2,1,16,15,5,3
7189,2,2,1,16,15,5,3
7190,1,1,1,9,9,7,7
7191,1,2,2,10,8,7,4
7192,1,2,2,10,8,7,4
7193,1,2,2,11,10,8,8
7194,1,2,2,11,10,8,8
7195,2,2,2,12,12,2,2
7196,1,2,1,15,15,3,3
7197,1,4,2,18,18,8,4
7198,1,4,2,18,18,8,4
7199,1,2,2,18,14,8,8
7200,1,2,2,18,14,8,8
7201,2,1,1,15,15,3,1
7202,2,1,1,15,15,3,1
7203,2,3,1,13,14,8,8
7204,2,3,1,13,14,8,8
7205,1,3,1,14,14,8,8
7206,1,3,1,15,15,8,8
7207,1,2,2,19,13,8,3
7208,1,2,2,19,13,8,3
7209,2,2,1,9,9,8,6
7210,2,2,1,9,9,8,6
7211,2,2,1,9,9,8,6
7212,2,2,1,9,9,8,6
7213,1,3,2,15,14,8,6
7214,1,3,2,15,14,8,6
7215,1,4,1,19,19,8,8
7216,1,2,2,14,13,7,3
7217,1,2,2,14,13,7,3
7218,2,4,2,14,14,8,8
7219,1,3,2,14,14,8,8
7220,1,3,2,14,14,8,8
7221,2,3,2,15,15,8,8
7222,2,2,1,15,18,8,8
7223,2,2,1,15,18,8,8
7224,2,2,2,14,14,7,7
7225,2,1,1,9,12,5,5
7226,2,1,1,9,12,5,5
7227,1,3,1,17,17,8,8
7228,2,2,2,12,12,7,7
7229,1,4,1,16,16,8,8
7230,1,4,2,12,12,7,1
7231,1,4,2,12,12,7,1
7232,1,3,1,12,12,6,6
7233,2,2,2,15,15,5,5
7234,2,2,2,10,10,7,7
7235,2,4,2,14,14,3,3
7236,1,2,2,8,8,4,3
7237,1,2,2,8,8,4,3
7238,2,2,2,8,8,3,1
7239,2,2,2,8,8,3,1
7240,1,2,1,17,17,6,6
7241,1,2,1,10,10,4,4
7242,1,2,2,17,17,8,4
7243,1,2,2,17,17,8,4
7244,2,3,2,9,9,8,8
7245,2,3,2,9,9,8,8
7246,2,1,2,8,9,6,4
7247,2,1,2,8,9,6,4
7248,1,2,2,11,10,8,5
7249,1,2,2,11,10,8,5
7250,2,2,1,15,17,8,8
7251,2,2,1,15,17,8,8
7252,2,2,2,8,8,4,4
7253,2,3,1,13,14,8,8
7254,2,3,1,13,14,8,8
7255,1,4,1,19,19,8,8
7256,1,2,1,19,19,6,6
7257,2,1,2,15,15,5,5
7258,1,2,2,11,10,8,5
7259,1,2,2,11,10,8,5
7260,1,2,1,18,18,8,8
7261,1,3,2,18,17,8,7
7262,1,3,2,18,17,8,7
7263,1,3,1,20,20,8,8
7264,2,2,2,17,17,3,3
7265,2,2,1,11,10,1,1
7266,2,2,1,11,10,1,1
7267,2,2,1,15,14,8,1
7268,2,2,1,15,14,8,1
7269,2,2,1,11,12,8,7
7270,2,2,1,11,12,8,7
7271,1,2,1,14,15,6,4
7272,1,2,1,14,15,6,4
7273,1,1,1,14,14,6,6
7274,1,2,2,17,15,8,5
7275,1,2,2,17,15,8,5
7276,2,1,2,13,13,5,5
7277,2,3,1,16,17,8,2
7278,2,3,1,16,17,8,2
7279,2,5,1,13,13,5,5
7280,2,5,1,13,13,5,5
7281,2,2,2,14,5,5,1
7282,2,2,2,14,5,5,1
7283,2,2,2,13,6,8,1
7284,2,2,2,13,6,8,1
7285,2,2,1,12,13,7,2
7286,2,2,1,12,13,7,2
7287,1,0,2,11,11,5,4
7288,1,0,2,11,11,5,4
7289,2,1,2,15,15,5,5
7290,2,2,1,14,12,8,8
7291,2,2,1,14,12,8,8
7292,2,4,1,15,9,8,5
7293,2,4,1,15,9,8,5
7294,1,3,1,17,17,5,5
7295,2,2,2,15,15,3,3
7296,1,2,1,21,21,6,6
7297,1,2,2,9,9,8,6
7298,1,2,2,9,9,8,6
7299,2,3,2,18,18,5,5
7300,2,1,2,14,14,6,6
7301,2,2,2,17,17,6,6
7302,1,4,2,16,15,8,6
7303,1,4,2,16,15,8,6
7304,1,2,1,19,19,8,8
7305,2,2,1,15,9,3,1
7306,2,2,1,15,9,3,1
7307,2,2,1,14,14,8,7
7308,2,2,1,14,14,8,7
7309,2,3,2,15,15,5,5
7310,2,3,2,14,14,5,5
7311,1,3,2,14,14,8,4
7312,1,3,2,14,14,8,4
7313,2,2,2,9,9,5,5
7314,2,2,2,9,9,5,5
7315,1,2,2,15,13,8,6
7316,1,2,2,15,13,8,6
7317,2,3,1,9,9,8,6
7318,2,3,1,9,9,8,6
7319,2,2,2,9,9,6,3
7320,2,2,2,9,9,6,3
7321,2,3,2,16,16,4,4
7322,2,3,2,14,14,8,8
7323,1,2,2,19,17,8,8
7324,1,2,2,19,17,8,8
7325,2,2,2,16,9,5,3
7326,2,2,2,16,9,5,3
7327,1,3,1,13,13,8,8
7328,1,2,2,16,15,8,1
7329,1,2,2,16,15,8,1
7330,1,2,2,11,11,8,2
7331,1,2,2,11,11,8,2
7332,2,2,2,20,20,7,7
7333,1,1,1,12,12,8,8
7334,1,3,1,16,16,8,8
7335,1,2,2,8,8,4,3
7336,1,2,2,8,8,4,3
7337,1,2,1,17,17,5,5
7338,2,2,1,15,18,8,6
7339,2,2,1,15,18,8,6
7340,2,1,2,14,14,8,8
7341,1,2,2,15,12,5,3
7342,1,2,2,15,12,5,3
7343,2,2,2,16,16,1,1
7344,1,2,2,15,14,5,4
7345,1,2,2,15,14,5,4
7346,1,3,1,18,18,8,8
7347,1,2,1,13,13,6,6
7348,1,2,1,20,20,7,7
7349,1,3,2,17,16,8,1
7350,1,3,2,17,16,8,1
7351,1,2,1,15,15,8,8
7352,1,1,1,17,17,8,8
7353,2,2,2,18,18,6,6
7354,2,1,2,20,20,5,5
7355,1,1,1,13,14,8,6
7356,1,1,1,13,14,8,6
7357,2,1,2,9,9,8,8
7358,1,2,2,20,19,8,6
7359,1,2,2,20,19,8,6
7360,2,2,2,21,21,8,8
7361,1,2,2,20,18,8,8
7362,1,2,2,20,18,8,8
7363,1,1,1,9,9,1,1
7364,2,2,2,17,17,5,5
7365,1,2,2,15,15,7,1
7366,1,2,2,15,15,7,1
7367,1,1,2,11,10,8,3
7368,1,1,2,11,10,8,3
7369,2,2,2,13,13,8,8
7370,1,2,1,17,17,8,8
7371,1,2,2,9,9,8,8
7372,1,2,2,9,9,8,8
7373,1,3,2,17,18,8,5
7374,1,3,2,17,18,8,5
7375,2,2,1,14,14,5,2
7376,2,2,1,14,14,5,2
7377,2,2,1,8,9,3,1
7378,2,2,1,8,9,3,1
7379,1,4,1,15,13,8,6
7380,1,4,1,15,13,8,6
7381,1,3,1,14,14,8,8
7382,1,2,2,17,17,6,5
7383,1,2,2,17,17,6,5
7384,2,2,1,14,20,8,6
7385,2,2,1,14,20,8,6
7386,2,3,2,18,18,8,8
7387,1,2,1,18,18,8,8
7388,1,2,2,20,19,5,5
7389,1,2,2,20,19,5,5
7390,1,3,2,18,17,8,8
7391,1,3,2,18,17,8,8
7392,1,3,1,17,13,8,6
7393,1,3,1,17,13,8,6
7394,2,2,1,8,9,3,3
7395,2,2,1,8,9,3,3
7396,2,3,2,17,17,8,8
7397,1,2,1,11,11,8,8
7398,2,2,1,15,13,4,4
7399,2,2,1,15,13,4,4
7400,2,2,2,17,17,8,8
7401,1,1,2,14,15,8,1
7402,1,1,2,14,15,8,1
7403,1,2,1,17,17,8,8
7404,2,2,1,16,8,8,3
7405,2,2,1,16,8,8,3
7406,1,2,1,14,14,8,8
7407,1,3,2,15,15,8,4
7408,1,3,2,15,15,8,4
7409,2,2,1,16,16,8,8
7410,2,2,1,16,16,8,8
7411,2,1,2,15,15,6,6
7412,1,1,1,14,13,8,8
7413,1,1,1,14,13,8,8
7414,2,2,2,17,17,5,5
7415,1,1,1,19,19,8,8
7416,2,2,2,13,13,8,8
7417,2,3,2,15,15,8,8
7418,1,2,1,13,13,6,6
7419,1,2,1,14,14,8,8
7420,1,3,1,15,15,8,8
7421,1,2,2,15,15,8,2
7422,1,2,2,15,15,8,2
7423,1,2,1,15,15,7,7
7424,1,2,1,15,15,8,8
7425,2,3,2,14,14,4,4
7426,1,3,1,16,16,3,3
7427,1,2,1,16,16,8,8
7428,1,2,1,21,21,7,7
7429,1,2,1,20,20,8,8
7430,1,2,1,15,15,8,8
7431,1,3,1,14,14,8,8
7432,1,2,2,14,14,8,5
7433,1,2,2,14,14,8,5
7434,1,2,1,13,13,8,8
7435,2,1,2,13,13,8,8
7436,2,2,1,13,13,8,4
7437,2,2,1,13,13,8,4
7438,1,3,1,20,20,5,5
7439,1,3,1,19,19,8,8
7440,1,2,1,19,19,8,8
7441,1,5,1,17,17,8,8
7442,2,1,2,14,14,6,6
7443,2,2,2,8,8,3,2
7444,2,2,2,8,8,3,2
7445,2,1,2,13,13,8,8
7446,2,2,2,9,9,5,5
7447,2,2,1,16,20,8,7
7448,2,2,1,16,20,8,7
7449,2,2,1,17,17,8,6
7450,2,2,1,17,17,8,6
7451,2,2,1,18,19,8,8
7452,2,2,1,18,19,8,8
7453,2,3,2,21,21,4,4
7454,2,3,2,17,17,8,8
7455,1,2,2,13,12,8,8
7456,1,2,2,13,12,8,8
7457,1,2,2,12,11,8,7
7458,1,2,2,12,11,8,7
7459,1,2,1,13,13,8,8
7460,1,3,2,15,14,8,8
7461,1,3,2,15,14,8,8
7462,1,2,2,15,14,8,5
7463,1,2,2,15,14,8,5
7464,2,3,2,16,16,6,6
7465,1,2,2,17,15,8,8
7466,1,2,2,17,15,8,8
7467,2,2,1,18,17,8,3
7468,2,2,1,18,17,8,3
7469,1,1,2,15,15,8,5
7470,1,1,2,15,15,8,5
7471,1,3,1,17,17,8,8
7472,2,3,1,12,20,6,5
7473,2,3,1,12,20,6,5
7474,2,2,1,17,16,8,6
7475,2,2,1,17,16,8,6
7476,2,2,2,8,8,1,1
7477,1,3,1,14,14,8,8
7478,2,3,2,15,15,6,6
7479,2,3,2,15,15,4,4
7480,2,2,2,16,16,4,4
7481,1,2,1,10,9,6,5
7482,1,2,1,10,9,6,5
7483,1,2,1,19,19,8,8
7484,2,1,2,20,20,6,6
7485,1,1,2,11,11,8,8
7486,1,1,2,11,11,8,8
7487,1,3,1,15,15,8,8
7488,2,2,2,13,13,8,8
7489,1,2,2,15,15,8,8
7490,1,2,2,15,15,8,8
7491,2,2,2,15,15,3,3
7492,1,2,2,13,5,4,1
7493,1,2,2,13,5,4,1
7494,2,1,2,13,13,5,5
7495,2,2,1,17,18,8,7
7496,2,2,1,17,18,8,7
7497,2,2,1,9,9,6,5
7498,2,2,1,9,9,6,5
7499,2,3,2,22,22,8,8
7500,2,2,2,17,17,8,8
7501,2,2,1,14,14,8,8
7502,2,2,1,14,14,8,8
7503,2,2,2,22,22,2,2
7504,1,2,1,14,14,5,5
7505,2,2,1,10,10,8,8
7506,2,2,1,10,10,8,8
7507,1,2,1,21,21,8,8
7508,1,3,2,17,11,8,8
7509,1,3,2,17,11,8,8
7510,1,3,2,14,16,8,8
7511,1,3,2,14,16,8,8
7512,1,2,1,17,17,8,8
7513,1,2,1,20,20,8,8
7514,1,4,1,15,15,8,8
7515,1,3,2,17,15,8,8
7516,1,3,2,17,15,8,8
7517,1,2,2,17,17,7,6
7518,1,2,2,17,17,7,6
7519,1,2,2,11,12,8,8
7520,1,2,2,11,12,8,8
7521,1,2,2,9,9,8,7
7522,1,2,2,9,9,8,7
7523,1,2,2,17,18,8,8
7524,1,2,2,17,18,8,8
7525,1,5,2,18,17,8,4
7526,1,5,2,18,17,8,4
7527,2,1,1,9,9,7,1
7528,2,1,1,9,9,7,1
7529,2,2,2,14,14,8,8
7530,1,2,2,10,10,6,6
7531,1,2,2,10,10,6,6
7532,1,2,2,16,18,8,7
7533,1,2,2,16,18,8,7
7534,2,1,1,14,16,8,8
7535,2,1,1,14,16,8,8
7536,2,2,1,14,9,3,3
7537,2,2,1,14,9,3,3
7538,1,2,2,16,16,8,8
7539,1,2,2,16,16,8,8
7540,2,2,2,16,16,7,7
7541,1,2,1,15,15,6,6
7542,1,2,1,14,14,8,8
7543,2,2,1,10,12,8,3
7544,2,2,1,10,12,8,3
7545,1,3,1,16,16,8,8
7546,2,3,1,11,11,8,8
7547,2,3,1,11,11,8,8
7548,1,2,2,10,9,8,8
7549,1,2,2,10,9,8,8
7550,2,2,1,10,10,6,5
7551,2,2,1,10,10,6,5
7552,1,2,1,16,16,8,8
7553,2,2,2,15,15,8,8
7554,1,2,1,5,5,1,1
7555,1,2,2,14,15,8,2
7556,1,2,2,14,15,8,2
7557,1,2,2,9,11,8,5
7558,1,2,2,9,11,8,5
7559,1,0,2,9,8,8,8
7560,1,0,2,9,8,8,8
7561,1,2,1,13,5,6,1
7562,1,2,1,13,5,6,1
7563,2,2,2,15,15,8,8
7564,2,2,2,13,13,1,1
7565,2,2,1,15,15,8,6
7566,2,2,1,15,15,8,6
7567,2,1,2,11,11,8,8
7568,1,2,2,15,15,8,1
7569,1,2,2,15,15,8,1
7570,1,3,1,14,14,8,8
7571,1,2,2,11,9,8,8
7572,1,2,2,11,9,8,8
7573,1,3,2,20,18,8,4
7574,1,3,2,20,18,8,4
7575,1,2,1,17,17,4,4
7576,1,2,2,15,15,8,5
7577,1,2,2,15,15,8,5
7578,1,2,1,17,17,6,6
7579,1,2,2,20,15,8,5
7580,1,2,2,20,15,8,5
7581,2,3,2,13,13,8,8
7582,2,4,1,14,15,8,8
7583,2,4,1,14,15,8,8
7584,2,2,2,10,9,5,5
7585,2,2,2,10,9,5,5
7586,1,2,1,16,16,8,8
7587,1,2,2,10,10,8,7
7588,1,2,2,10,10,8,7
7589,1,2,2,14,15,8,3
7590,1,2,2,14,15,8,3
7591,1,2,2,17,19,8,8
7592,1,2,2,17,19,8,8
7593,2,2,1,14,14,8,8
7594,2,2,1,14,14,8,8
7595,2,4,2,17,17,5,5
7596,1,2,1,20,20,8,8
7597,1,3,2,17,18,8,3
7598,1,3,2,17,18,8,3
7599,1,3,1,18,18,8,8
7600,1,4,1,14,14,5,5
7601,1,2,1,15,15,8,8
7602,1,2,2,15,15,8,8
7603,1,2,2,15,15,8,8
7604,1,2,1,10,10,8,8
7605,1,2,1,10,10,8,8
7606,1,2,1,20,20,8,8
7607,1,2,1,10,8,8,3
7608,1,2,1,10,8,8,3
7609,1,5,1,19,19,8,8
7610,1,2,1,17,17,8,8
7611,1,2,1,13,13,8,8
7612,1,2,2,12,12,8,5
7613,1,2,2,12,12,8,5
7614,1,2,2,17,17,8,3
7615,1,2,2,17,17,8,3
7616,1,2,2,16,17,8,6
7617,1,2,2,16,17,8,6
7618,1,2,2,14,13,8,8
7619,1,2,2,14,13,8,8
7620,1,3,2,15,14,8,8
7621,1,3,2,15,14,8,8
7622,2,2,2,12,12,8,8
7623,1,2,1,15,15,8,8
7624,1,4,2,15,15,8,2
7625,1,4,2,15,15,8,2
7626,2,2,1,11,10,8,8
7627,2,2,1,11,10,8,8
7628,1,2,1,12,12,8,8
7629,1,2,1,15,15,6,6
7630,2,1,1,17,18,8,6
7631,2,1,1,17,18,8,6
7632,1,2,1,17,17,8,8
7633,1,2,2,16,15,5,5
7634,1,2,2,16,15,5,5
7635,2,2,1,14,15,8,6
7636,2,2,1,14,15,8,6
7637,2,2,2,14,14,8,8
7638,1,1,1,10,10,8,8
7639,2,3,1,16,18,8,8
7640,2,3,1,16,18,8,8
7641,1,3,1,21,21,8,8
7642,2,1,1,9,9,7,6
7643,2,1,1,9,9,7,6
7644,1,4,1,18,18,8,8
7645,2,2,2,11,11,7,7
7646,1,2,2,10,9,7,7
7647,1,2,2,10,9,7,7
7648,1,2,2,16,16,8,6
7649,1,2,2,16,16,8,6
7650,1,2,2,19,15,8,1
7651,1,2,2,19,15,8,1
7652,1,2,1,12,12,3,3
7653,1,2,2,14,14,8,8
7654,1,2,2,14,14,8,8
7655,1,2,2,18,17,8,5
7656,1,2,2,18,17,8,5
7657,1,3,1,17,17,8,8
7658,2,2,2,15,15,4,4
7659,1,2,2,9,9,8,6
7660,1,2,2,9,9,8,6
7661,1,2,1,14,14,8,8
7662,2,4,2,13,13,8,8
7663,1,2,2,13,14,8,8
7664,1,2,2,13,14,8,8
7665,1,3,2,15,16,8,3
7666,1,3,2,15,16,8,3
7667,2,2,2,16,16,5,5
7668,1,2,1,13,13,8,8
7669,1,2,2,10,10,8,8
7670,1,2,2,10,10,8,8
7671,1,3,2,12,14,8,3
7672,1,3,2,12,14,8,3
7673,2,3,1,13,13,6,1
7674,2,3,1,13,13,6,1
7675,1,3,1,15,15,8,8
7676,1,2,2,20,15,5,5
7677,1,2,2,20,15,5,5
7678,2,2,2,9,10,5,1
7679,2,2,2,9,10,5,1
7680,1,4,1,15,15,6,6
7681,1,2,2,17,17,8,8
7682,1,2,2,17,17,8,8
7683,1,2,2,12,11,8,6
7684,1,2,2,12,11,8,6
7685,2,2,1,14,14,8,8
7686,2,2,1,14,14,8,8
7687,1,2,2,17,16,8,3
7688,1,2,2,17,16,8,3
7689,1,2,2,10,9,8,8
7690,1,2,2,10,9,8,8
7691,1,2,2,10,9,7,6
7692,1,2,2,10,9,7,6
7693,1,3,1,14,14,8,8
7694,1,2,1,12,12,7,7
7695,2,2,2,15,15,2,2
7696,1,2,1,21,21,8,8
7697,1,3,2,14,15,8,8
7698,1,3,2,14,15,8,8
7699,2,2,1,14,15,8,8
7700,2,2,1,14,15,8,8
7701,1,2,1,16,16,8,8
7702,2,4,1,15,15,5,2
7703,2,4,1,15,15,5,2
7704,1,2,2,16,15,8,5
7705,1,2,2,16,15,8,5
7706,2,2,2,12,12,1,1
7707,1,2,2,19,19,8,8
7708,1,2,2,19,19,8,8
7709,1,2,1,15,15,8,8
7710,2,3,2,20,20,8,8
7711,2,2,2,14,14,7,7
7712,1,2,2,13,14,8,8
7713,1,2,2,13,14,8,8
7714,1,2,1,16,16,3,3
7715,2,2,1,9,10,6,4
7716,2,2,1,9,10,6,4
7717,1,2,1,20,20,8,8
7718,2,3,1,20,20,8,8
7719,2,3,1,20,20,8,8
7720,1,2,2,16,15,7,3
7721,1,2,2,16,15,7,3
7722,1,3,1,13,13,8,8
7723,1,2,2,9,9,5,4
7724,1,2,2,9,9,5,4
7725,2,2,2,16,16,8,8
7726,1,2,2,14,14,8,8
7727,1,2,2,14,14,8,8
7728,1,2,2,15,15,8,6
7729,1,2,2,15,15,8,6
7730,2,2,2,21,21,6,6
7731,2,2,1,11,11,8,8
7732,2,2,1,11,11,8,8
7733,2,2,2,15,15,1,1
7734,2,2,1,11,11,5,5
7735,2,2,1,11,11,5,5
7736,1,2,2,15,14,8,7
7737,1,2,2,15,14,8,7
7738,1,2,2,13,13,8,3
7739,1,2,2,13,13,8,3
7740,2,2,2,14,14,6,6
7741,1,2,2,16,18,5,1
7742,1,2,2,16,18,5,1
7743,2,2,2,14,14,2,2
7744,1,2,1,19,19,5,5
7745,1,2,1,17,17,4,4
7746,2,2,1,12,13,6,4
7747,2,2,1,12,13,6,4
7748,1,3,2,15,13,8,8
7749,1,3,2,15,13,8,8
7750,2,2,1,15,15,8,3
7751,2,2,1,15,15,8,3
7752,1,3,1,17,17,8,8
7753,1,2,1,15,15,8,8
7754,1,2,1,9,9,5,4
7755,1,2,1,9,9,5,4
7756,2,2,1,12,11,8,8
7757,2,2,1,12,11,8,8
7758,1,1,1,19,19,6,6
7759,1,2,1,12,12,8,8
7760,2,2,1,12,8,8,4
7761,2,2,1,12,8,8,4
7762,1,2,1,22,22,3,3
7763,1,2,2,14,14,8,8
7764,1,2,2,14,14,8,8
7765,2,2,2,17,17,2,2
7766,2,2,2,14,14,8,8
7767,1,2,1,13,13,5,5
7768,2,2,2,11,11,6,6
7769,1,2,1,15,15,8,8
7770,1,2,1,18,18,8,8
7771,1,1,1,12,13,8,5
7772,1,1,1,12,13,8,5
7773,2,2,1,13,14,8,8
7774,2,2,1,13,14,8,8
7775,2,2,2,14,13,8,8
7776,2,2,2,14,13,8,8
7777,1,2,1,16,16,7,7
7778,2,3,2,14,14,5,5
7779,1,3,2,15,14,8,8
7780,1,3,2,15,14,8,8
7781,1,2,2,20,17,8,3
7782,1,2,2,20,17,8,3
7783,1,2,2,13,13,8,4
7784,1,2,2,13,13,8,4
7785,2,3,2,16,16,6,6
7786,1,2,2,13,13,8,8
7787,1,2,2,13,13,8,8
7788,1,2,2,11,11,8,8
7789,1,2,2,11,11,8,8
7790,1,1,1,11,11,8,8
7791,2,2,2,16,16,2,2
7792,2,3,1,15,15,8,3
7793,2,3,1,15,15,8,3
7794,2,1,2,12,12,8,8
7795,2,2,1,20,20,5,4
7796,2,2,1,20,20,5,4
7797,2,2,1,14,17,8,5
7798,2,2,1,14,17,8,5
7799,2,4,2,14,14,6,6
7800,1,2,2,15,15,8,6
7801,1,2,2,15,15,8,6
7802,1,1,1,8,8,4,4
7803,1,2,2,14,14,8,6
7804,1,2,2,14,14,8,6
7805,1,1,1,11,11,7,7
7806,1,2,1,19,19,8,8
7807,1,2,2,11,10,5,3
7808,1,2,2,11,10,5,3
7809,1,3,1,12,12,8,8
7810,1,2,2,14,13,8,8
7811,1,2,2,14,13,8,8
7812,2,1,2,12,15,5,4
7813,2,1,2,12,15,5,4
7814,1,2,2,15,13,5,1
7815,1,2,2,15,13,5,1
7816,2,3,2,15,15,6,6
7817,1,3,2,14,15,6,1
7818,1,3,2,14,15,6,1
7819,1,2,2,16,15,6,3
7820,1,2,2,16,15,6,3
7821,1,2,2,14,13,8,6
7822,1,2,2,14,13,8,6
7823,2,2,1,20,17,5,3
7824,2,2,1,20,17,5,3
7825,1,2,1,19,19,5,5
7826,1,3,2,15,14,8,6
7827,1,3,2,15,14,8,6
7828,2,2,2,19,19,3,3
7829,1,2,2,13,14,8,8
7830,1,2,2,13,14,8,8
7831,2,2,1,15,17,7,6
7832,2,2,1,15,17,7,6
7833,1,2,1,15,15,5,5
7834,1,2,2,15,15,6,6
7835,1,2,2,15,15,6,6
7836,1,3,2,14,15,8,8
7837,1,3,2,14,15,8,8
7838,2,3,2,17,17,3,3
7839,1,3,2,17,17,8,8
7840,1,3,2,17,17,8,8
7841,2,2,1,15,15,5,4
7842,2,2,1,15,15,5,4
7843,1,1,1,9,9,3,3
7844,1,2,2,10,10,8,8
7845,1,2,2,10,10,8,8
7846,2,3,1,17,17,8,5
7847,2,3,1,17,17,8,5
7848,1,2,2,12,12,8,1
7849,1,2,2,12,12,8,1
7850,1,2,2,14,15,8,8
7851,1,2,2,14,15,8,8
7852,1,2,2,9,10,5,4
7853,1,2,2,9,10,5,4
7854,2,3,1,14,13,8,8
7855,2,3,1,14,13,8,8
7856,1,2,2,16,15,8,4
7857,1,2,2,16,15,8,4
7858,2,2,2,14,14,6,6
7859,2,4,1,15,19,8,7
7860,2,4,1,15,19,8,7
7861,1,2,2,16,15,8,8
7862,1,2,2,16,15,8,8
7863,2,6,2,17,17,8,8
7864,1,2,1,19,19,5,5
7865,2,2,2,17,17,5,5
7866,2,1,2,15,15,6,6
7867,2,2,2,9,9,5,5
7868,2,2,2,16,16,8,8
7869,1,2,1,19,19,8,8
7870,1,2,2,8,8,5,4
7871,1,2,2,8,8,5,4
7872,1,3,2,17,14,8,2
7873,1,3,2,17,14,8,2
7874,2,2,2,14,14,8,8
7875,1,2,1,19,19,8,8
7876,1,2,2,9,10,7,5
7877,1,2,2,9,10,7,5
7878,1,3,1,17,17,8,8
7879,2,3,2,15,15,5,5
7880,1,3,2,20,20,8,1
7881,1,3,2,20,20,8,1
7882,1,2,1,15,15,8,8
7883,1,2,1,15,15,8,8
7884,2,1,2,17,17,8,8
7885,1,2,2,13,15,4,4
7886,1,2,2,13,15,4,4
7887,1,2,1,15,15,8,8
7888,2,2,2,15,15,4,4
7889,1,2,2,9,9,8,3
7890,1,2,2,9,9,8,3
7891,2,2,2,15,15,8,8
7892,1,2,1,11,11,8,8
7893,1,3,1,18,18,8,8
7894,2,2,2,14,14,4,4
7895,1,3,1,15,15,8,8
7896,1,2,2,15,14,8,8
7897,1,2,2,15,14,8,8
7898,2,2,2,9,9,8,8
7899,2,2,2,19,19,5,5
7900,2,2,2,15,15,8,8
7901,1,2,1,12,12,6,5
7902,1,2,1,12,12,6,5
7903,1,1,2,13,13,8,5
7904,1,1,2,13,13,8,5
7905,1,2,2,9,9,6,4
7906,1,2,2,9,9,6,4
7907,2,3,2,15,15,7,7
7908,1,2,1,19,19,8,8
7909,1,2,1,16,16,8,8
7910,2,1,2,14,14,4,4
7911,1,2,2,17,20,8,4
7912,1,2,2,17,20,8,4
7913,2,2,1,14,14,8,8
7914,2,2,1,14,14,8,8
7915,1,2,1,16,16,8,8
7916,1,2,1,17,17,8,8
7917,1,2,1,19,19,6,6
7918,2,2,2,17,17,8,8
7919,1,3,2,14,14,8,7
7920,1,3,2,14,14,8,7
7921,1,1,2,17,15,8,8
7922,1,1,2,17,15,8,8
7923,1,2,1,17,17,6,6
7924,1,2,1,14,14,8,8
7925,1,2,1,12,12,8,8
7926,1,3,1,22,22,7,7
7927,1,1,1,16,16,3,3
7928,2,1,1,18,19,8,3
7929,2,1,1,18,19,8,3
7930,2,1,2,19,19,6,6
7931,1,4,2,15,14,8,8
7932,1,4,2,15,14,8,8
7933,1,3,2,16,15,8,8
7934,1,3,2,16,15,8,8
7935,1,3,2,14,13,8,8
7936,1,3,2,14,13,8,8
7937,1,2,2,12,11,8,8
7938,1,2,2,12,11,8,8
7939,1,3,1,19,19,8,8
7940,2,1,2,12,12,8,8
7941,2,2,1,13,9,8,5
